Feature_1,Feature_2,Label
19.638965075658593,19.50070077448741,0
18.677570344060783,20.20060020046881,0
20.319851249366856,20.085714292417677,0
18.248644219212196,19.016078948365106,0
20.135296722852786,20.67785676643875,0
20.634196371323895,20.168466617753637,0
20.747094648395326,18.833814403737527,0
21.774966427017564,21.21267889777659,0
20.720013813655427,21.034261146250703,0
21.492523767316893,20.080220065981603,0
18.843599083331814,18.617822782845277,0
20.65389295237503,19.229144766161575,0
20.41598797396526,20.526910563675127,0
20.80894066846761,21.18463868681328,0
20.666015238862126,20.37432148906885,0
19.59495411956126,21.447232304070198,0
20.54054440398159,19.48283347502569,0
19.89807703535051,18.677233385379488,0
20.798953882740026,18.839283758860248,0
21.05181224136356,21.248673477232682,0
19.274785041283177,19.446153322473148,0
20.250706198246895,19.94960250265761,0
21.64035970790948,20.920515499514767,0
19.870363764509758,20.927485990728677,0
20.583937909710123,18.82089775434739,0
19.911876189752967,19.52679390933665,0
20.280393504225103,20.89206979306597,0
18.641488162670782,19.57276828178698,0
20.88138988233747,20.572177506486256,0
19.22534488949853,20.20089001662089,0
20.507806551144977,20.32214757448116,0
21.55621750462475,20.36001088054408,0
18.61821198229037,19.974452010861192,0
19.560596145672164,20.564129043564186,0
20.009373892687684,19.36425413808256,0
18.91800394158067,20.456040508046637,0
19.24870443207919,20.813348087893196,0
21.857814559394015,22.67971706376924,0
20.07411870281372,19.775111352347853,0
20.914317293749715,18.926748379148822,0
20.0116851496087,20.368797721120444,0
18.979241322288935,18.460971104015286,0
20.951054520694978,20.44929747711044,0
19.04286295656209,19.371614066221774,0
20.202152077819598,20.715419510932954,0
19.431605880861014,20.400250871393904,0
20.77182688740213,20.444164740804364,0
21.071333095709505,19.607818147577387,0
19.613024681396446,19.874079953576334,0
20.11286518333405,19.878278049958904,0
21.43606967977157,21.01542435700621,0
20.697938112168693,19.895660842947073,0
19.937652095162946,20.341702951977485,0
18.279226186875714,18.453803999707556,0
19.814177776762563,19.739731860996393,0
21.67496155422392,21.6484476787747,0
18.71621805187316,21.179460164358446,0
20.01581581103013,20.317363153363743,0
20.614400293184822,19.44572225556529,0
18.634319894262173,19.38625292694895,0
19.769639966053024,18.860252511258285,0
19.486070021841194,18.08421895904891,0
18.39653903547287,20.586994661282848,0
21.140978485735843,20.574680756133073,0
20.165437213370403,19.661961559254205,0
21.308632436619796,21.377195411425824,0
20.683185787303767,21.15677821793895,0
20.02127754119276,21.571211946210298,0
20.83934800686382,20.517286490658144,0
19.910905581558815,18.68004126512486,0
19.149442541148463,20.45658529543089,0
21.29980438802145,21.484438246553754,0
19.384023462285725,20.165846334063037,0
21.731459045391777,20.4110024323075,0
19.399493008268152,19.69647768150134,0
19.609842723385608,19.956290932882585,0
20.472791835507913,20.705045532668915,0
20.10336750198659,19.38901608396022,0
18.147275415159253,18.621108336071043,0
20.70342228787782,21.359975896511653,0
20.45055678514868,21.237641388891134,0
19.406967955043104,18.586285636691393,0
18.959301335206646,19.372082262143145,0
18.339678526678696,20.236471509332645,0
20.589380424424032,19.835644260066545,0
21.17824723557125,20.362436950605808,0
19.896196051619498,20.23734802643614,0
19.346787114268768,20.173970363304793,0
19.261972992757816,20.715507069915134,0
18.869114957574403,21.58928412416402,0
19.886734960725214,19.02957740430893,0
20.686183900421508,21.168656315664695,0
19.83652420184657,20.550524695938662,0
19.626578651421145,19.55374973876427,0
21.49076848395525,19.975921259269384,0
19.958493894497895,20.814892688821367,0
20.437458768147913,19.191719989435924,0
19.657362228897547,20.042679608626386,0
20.6885804401012,20.842305546046727,0
20.52107492001934,19.378104622188715,0
19.40975479360129,19.970539319969525,0
18.53514908379244,19.588951135827344,0
21.662009190624055,20.72418415070893,0
19.29707339929629,19.8108593502085,0
17.627589874171203,21.480321364825926,0
18.937811494869948,20.073377135050546,0
18.848114611906833,19.499505863212633,0
19.893546564643838,20.652515785137105,0
20.7876955718447,20.550876965104692,0
20.379400092797784,20.46127423218411,0
18.92907947646934,17.06181428387759,0
20.212039177124552,18.5993233059349,0
19.864229686145354,20.953180283112722,0
20.483204259472235,19.405459481542927,0
20.279672309173034,20.95927005810771,0
20.524286762352528,20.7407453519345,0
20.28633380274901,19.63473345514319,0
17.826330443191768,18.46024946550978,0
21.660597768946502,21.84705208371593,0
20.146907222972008,20.99934055776823,0
20.74371131324217,20.62897487177527,0
19.129790590729883,19.995545784900006,0
21.206737798501965,20.872236562661016,0
20.737979321160548,20.084650088586837,0
18.268580923217137,18.67356263417809,0
20.63302656215094,21.550888509205716,0
17.645926192312913,18.67839145286406,0
21.5579300246964,21.073695951830146,0
19.256657493276037,18.54898802765726,0
19.228324073817614,20.002958127246952,0
20.83250801395941,20.77298265789761,0
23.319213677623775,22.294826036289486,0
20.842622026275777,19.594838844310924,0
19.30136103035064,17.871219652390007,0
20.315719415631825,20.446459992917916,0
19.46975179346251,18.03388964228307,0
18.987554111362783,18.997787172382374,0
20.618959688710085,21.081063162973358,0
20.127717685343175,19.52750080818438,0
20.132206419592404,19.746892822730644,0
19.570625757981727,20.232756432502775,0
19.245376895802238,18.007561396975387,0
19.128782810188873,17.17669501066637,0
19.837291144974362,20.425608351458937,0
20.068003664194922,19.44530414437433,0
20.4267396232316,19.93373868857277,0
20.085603803098415,20.935205900119442,0
20.03727031724015,19.344360721979495,0
19.067273894195182,19.374573415071794,0
